Category,Income_Avg,Net_Worth_Avg,Retirement_Balance_Avg,Stock_Holdings_Avg
35-44,79.94031650000001,103.2747695,42.36101391666667,29.25799533333333
45-54,87.90125458333334,197.28927,83.13945633333333,58.8293995
55-64,72.6342465,273.7864475,115.667058,87.1329085
65-74,50.694112749999995,281.4257525,117.48020475,112.62949075
75 or older,37.60305425,256.74646666666666,75.70518033333333,96.52379774999999
Less than 35,51.48235025,19.276480916666667,13.682362466666667,9.887891999999999
